"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"NAT1",2354.3900312672,-5.79707532371231,0.126224861032674,0,0
"PSAT1",665.175946340799,4.37911468687883,0.11130281035427,0,0
"PGR",2136.67621608755,-6.09575228631191,0.164281257798049,3.54632799312461e-303,1.93901393570743e-299
"FSIP1",171.62355204654,-5.07467305840725,0.139936231965933,1.94818011857002e-289,7.98899962122603e-286
"FOXC1",1271.59293546363,3.30028076261481,0.0920184907862863,1.79327401717036e-283,5.8830147407291e-280
"ABAT",1116.75114513843,-3.63523343432076,0.101416548169654,4.29153979403545e-283,1.17323545402606e-279
"CCNE1",274.689483021659,3.7831622168627,0.105780407841147,8.53613544241903e-282,2.00026042374285e-278
"C6orf97",322.555676411069,-3.70341003880013,0.104051506815709,3.75005599316444e-279,7.68902105698454e-276
"TBC1D9",6264.43111811821,-3.48640970947242,0.0995398715887204,1.63755754257067e-270,2.98453959675407e-267
"NEK10",233.785754095232,-5.60211015862021,0.163421724181968,3.65558624102268e-259,5.99625811114949e-256
"FZD9",79.411096341104,4.95810438584694,0.145038978831279,1.3974728650256e-257,2.08388612772864e-254
"EN1",650.264322672059,4.93054689777013,0.145151416134632,2.25453064249224e-254,3.08175551073335e-251
"HORMAD1",145.102321916596,8.23049134200281,0.243454473017673,5.74541692616396e-253,7.24939029537442e-250
"ART3",265.922674224613,7.42156096038884,0.223907331834343,3.52668975476289e-243,4.13202086052683e-240
"AGR3",1366.19402352706,-6.51060109401897,0.199955628063124,1.61098255825107e-234,1.76166312686615e-231
"TTC36",48.8706028361535,-5.72610660294254,0.176071456473624,1.12652192649568e-233,1.15489619751929e-230
"XBP1",25826.4628281876,-2.66332647877526,0.0820390245719795,1.03709298512057e-232,1.00067271970193e-229
"NOSTRIN",488.365011944123,-3.39674650468309,0.105902667164338,1.72618665367828e-227,1.5730355377936e-224
"LOC145837",61.5175102457321,-5.13947357904757,0.160414481040656,9.9844971703483e-227,8.61977405711701e-224
"CENPA",201.368049617939,3.03420251068942,0.0948640069800025,3.37310235725368e-226,2.7664498983016e-223
"DSCC1",245.49220614324,2.20898966391046,0.069063203191959,1.0048843239675e-225,7.84910360287569e-223
"CENPN",408.170398343014,1.99763457611796,0.0624887780357187,1.94258906919937e-225,1.44837675009442e-222
