"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",187,0.837493740115516,2.13335874173575,1e-10,5e-09,2.42105263157895e-09,1842,"tags=53%, list=11%, signal=48%","SPAG5/AURKA/BIRC5/KIF18B/MAD2L1/TOP2A/CENPE/CDC25A/UBE2T/MYBL2/DSCC1/PLK1/CCNB2/AURKB/KIF4A/RACGAP1/CDCA3/CENPM/PSMC3IP/DEPDC1/TRIP13/ESPL1/HMMR/BRCA1/DIAPH3/GINS1/TIMELESS/CDK1/KIF2C/BUB1B/SPC25/CDCA8/TK1/ATAD2/MELK/KPNA2/GINS4/PCNA/RAD21/PTTG1/UBE2S/TUBG1/PAICS/RAD51AP1/MCM2/CDKN3/ASF1B/CKS2/HMGB2/E2F8/MCM4/RRM2/DLGAP5/CIT/CSE1L/MKI67/PLK4/RAD51C/HELLS/LMNB1/NME1/UNG/CDC20/HMGB3/CCNE1/SLBP/CHEK1/RNASEH2A/TCF19/TACC3/EZH2/SPC24/RAN/SMC4/RBBP7/CDC25B/CKS1B/POLD2/DONSON/STMN1/KIF22/PA2G4/TIPIN/MCM3/RAD1/RFC3/TMPO/GSPT1/PRKDC/NOP56/RANBP1/PRDX4/RPA3/GINS3/MCM6/POLA2/SUV39H1/SNRPB/LIG1/RFC2"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",187,0.753644028052257,1.91976727513266,7.95712206276596e-09,1.98928051569149e-07,9.63230565492721e-08,2786,"tags=50%, list=17%, signal=42%","MAD2L1/CDC45/CCNA2/HSP90AB1/KPNA2/PCNA/GOT2/TYMS/MCM2/HSPD1/MCM4/VDAC3/HPRT1/GLO1/CYC1/CCT5/CBX3/NME1/CDC20/CCT2/COPS5/RFC4/PTGES3/HSPE1/PSMA6/VBP1/NDUFAB1/SNRPD1/RRM1/PSMD14/RAN/TXNL4A/BUB3/XPOT/KPNB1/PSMD3/POLD2/VDAC1/PPIA/HNRNPA2B1/CCT7/PA2G4/PSMC4/PSMA7/CCT3/CANX/SNRPA1/PGK1/PSMC6/GSPT1/SNRPB2/CSTF2/CDK2/PSMD8/NOP56/RANBP1/PSMA1/SNRPD3/PRDX4/NHP2/MCM6/COX5A/ACP1/HNRNPC/EIF2S2/AIMP2/ERH/PPM1G/EIF4E/XPO1/MCM7/HDGF/RUVBL2/EIF3J/SRPK1/UBE2E1/TCP1/MRPS18B/DUT/RNPS1/RAD23B/LDHA/NOLC1/SSB/PRDX3/ILF2/PSMA2/PSMD7/UBE2L3/USP1/NCBP2/PSMD1/HNRNPU/STARD7"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",194,-0.79964257600003,-1.46595703925836,3.23752379319051e-08,5.39587298865084e-07,2.61273849976778e-07,2023,"tags=38%, list=12%, signal=33%","SPSB1/SPHK1/PDE4B/DNAJB4/BTG2/IL18/SERPINB8/TRIP10/F3/BCL2A1/SOD2/HBEGF/PPP1R15A/TNFRSF9/ICAM1/STAT5A/KLF2/NFIL3/JUNB/JUN/CFLAR/NR4A1/KLF6/CCL2/PNRC1/PLEK/SERPINE1/IL15RA/MSC/EGR3/TNFAIP8/GFPT2/NR4A3/DUSP1/DUSP2/KLF4/KLF9/FUT4/PER1/CXCL3/RCAN1/TRAF1/FOSB/IL12B/FOS/BMP2/SLC2A3/ATF3/FOSL1/SOCS3/LAMB3/EDN1/CCL5/BIRC3/GPR183/TNFAIP3/LIF/CXCL6/ETS2/ZFP36/CXCL1/SGK1/G0S2/EGR2/EGR1/CD69/IL7R/GEM/IL6/PTGS2/CXCL2/PTX3/PTGER4"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",182,0.729780690575295,1.86018356097768,6.34600611346074e-08,7.93250764182592e-07,3.84100370025255e-07,1241,"tags=41%, list=8%, signal=39%","GINS2/AURKA/BIRC5/E2F1/CDC6/PBK/PRC1/UBE2C/MAD2L1/TPX2/TOP2A/CENPE/CDC25A/MYBL2/PLK1/SQLE/CCNB2/CENPA/CDC45/AURKB/CCND1/KIF4A/RACGAP1/ESPL1/POLQ/NUSAP1/CCNA2/TROAP/HMMR/NDC80/CDK1/KIF2C/KPNA2/KIF23/RAD21/PTTG1/UBE2S/KIF15/NEK2/MCM2/CDKN3/CKS2/TTK/BUB1/RAD54L/KIF11/CCNF/EXO1/CDC7/MKI67/PLK4/E2F2/CENPF/LMNB1/STIL/CDC20/MNAT1/CBX1/SLC7A5/HMGB3/LIG3/CHEK1/TACC3/EZH2/TRAIP/SNRPD1/BUB3/SMC4/DKC1/KPNB1/FBXO5/CDC25B/CKS1B/STMN1/KIF22"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",187,-0.785160589389901,-1.43703023230496,1.66026844785206e-06,1.66026844785206e-05,8.03919458959945e-06,2239,"tags=41%, list=14%, signal=36%","PCDH7/ITGA5/IL10/TLR2/OSMR/CCL22/PTAFR/IL15/EREG/SPHK1/PDE4B/BTG2/KCNJ2/IL18/SLC31A2/RGS1/F3/FPR1/PDPN/ACVR2A/CD82/AXL/HBEGF/STAB1/CALCRL/CXCL9/APLNR/TNFRSF9/GPR132/HAS2/ICAM1/LCP2/PTGIR/PIK3R5/KLF6/CCL2/HRH1/LYN/CD40/CMKLR1/IL4R/SERPINE1/EBI3/IL15RA/LAMP3/LTA/GP1BA/IL12B/IL10RA/SELL/CXCR6/EDN1/SCARF1/SELE/KCNA3/CCL5/MET/GPR183/LIF/CCL17/ICAM4/CXCL6/NLRP3/CHST2/CD48/IL18RAP/TNFRSF1B/SLAMF1/CCR7/CD69/LCK/IL7R/IL6/IL18R1/PTGER4/CX3CL1/TACR1"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",194,-0.76867030537775,-1.40917664823958,5.77827572745244e-06,4.81522977287703e-05,2.33158494265625e-05,2403,"tags=48%, list=15%, signal=41%","CDH11/POSTN/LAMC1/EMP3/THBS2/TNFRSF11B/GADD45B/FMOD/ITGA5/IGFBP3/CRLF1/COL5A2/LUM/FAP/COL5A1/IL15/COL8A2/NT5E/FLNA/SGCD/IL32/COL1A2/SPARC/VCAN/GPX7/MXRA5/BGN/EFEMP2/FBN1/VCAM1/PRRX1/LOX/COL1A1/TPM2/MYL9/WNT5A/VEGFC/PCOLCE/LOXL1/COL6A3/PDGFRB/CALD1/ADAM12/JUN/COL6A2/DPYSL3/FBLN1/COL3A1/SERPINE1/SLIT3/HTRA1/DAB2/ACTA2/FERMT2/PDLIM4/TAGLN/MATN2/NNMT/FOXC2/ECM2/DCN/GLIPR1/ABI3BP/LAMA1/SNAI2/FSTL1/GAS1/FAS/MMP2/SLIT2/VIM/SERPINE2/TNFAIP3/DST/COL16A1/WIPF1/CXCL6/SFRP4/MYLK/CXCL12/FBLN2/MMP3/LRP1/CXCL1/OXTR/LAMA2/PCOLCE2/GEM/IL6/ELN/FBLN5/PTX3/SFRP1"
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP",181,-0.770598624564938,-1.40707138100693,1.35075961085115e-05,9.64828293465107e-05,4.67180015783105e-05,2275,"tags=44%, list=14%, signal=38%","VWA5A/NGF/LAPTM5/IGFBP3/TNNT2/KCNN4/F13A1/CTSS/SATB1/EREG/ITGBL1/SLPI/LCP1/DUSP6/TFPI/HBEGF/ITGB2/PRRX1/MPZL2/CLEC4A/ETV5/PPP1R15A/CSF2RA/TLR8/FLT4/ETV1/GPRC5B/GPNMB/CXCR4/PLVAP/CMKLR1/ENG/LY96/PDCD1LG2/EMP1/GFPT2/NRP1/MAFB/KLF4/SPON1/ANGPTL4/PRDM1/DOCK2/TRAF1/BMP2/IL10RA/CCND2/PIGR/MALL/ALDH1A3/IRF8/IL2RG/BIRC3/TNFAIP3/LIF/MAP4K1/HSD11B1/IGF2/CD37/PECAM1/GNG11/CFH/AKAP12/CIDEA/IKZF1/ETS1/TNFRSF1B/G0S2/IL7R/SPARCL1/PTGS2/GYPC/RBP4/TMEM100/TSPAN7/ABCB1/SPRY2/ALDH1A2/IL33/RELN"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",188,-0.760517964520829,-1.39320584660532,3.54381471265831e-05,0.000221488419541144,0.00010724702419887,2523,"tags=36%, list=15%, signal=31%","BTG1/NAMPT/IDO1/PML/NLRC5/CD274/GBP4/SOCS1/ITGB7/ST8SIA4/UPP1/IL15/CD74/PDE4B/CD38/IL18BP/FPR1/IFNAR2/SOD2/VCAM1/CASP1/IL7/VAMP5/CXCL9/ICAM1/LCP2/LATS2/SLAMF7/CCL2/CASP4/CD40/PELI1/CMKLR1/IL4R/PIM1/XCL1/IL15RA/TXNIP/ARL4A/ARID5B/IL10RA/NOD1/CIITA/SOCS3/FGL2/IRF8/P2RY14/SSPN/FAS/IRF4/CCL5/GPR18/STAT4/TNFAIP3/GZMA/KLRK1/CFH/SERPING1/C1S/C1R/CD69/CSF2RB/IL6/PTGS2/PLA2G4A/BANK1/SELP"
"HALLMARK_COAGULATION","HALLMARK_COAGULATION",112,-0.805573962349952,-1.44586170646349,4.77074339854395e-05,0.000262844685032746,0.000127272163279014,2095,"tags=33%, list=13%, signal=29%","HMGCS2/CAPN5/RAPGEF3/P2RY1/F3/DUSP6/SPARC/FBN1/MMP8/PLEK/CTSK/SERPINE1/HTRA1/F2RL2/GP1BA/MMP7/MMP2/PECAM1/FYN/MMP3/LRP1/VWF/DPP4/CFH/SERPING1/TF/C1S/A2M/C1R/GSN/KLK8/ANXA1/C3/F10/CFI/PROS1/LEFTY2"
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN",137,-0.786949782783174,-1.42379335456228,5.78258307072041e-05,0.000262844685032746,0.000127272163279014,1901,"tags=25%, list=12%, signal=22%","RND3/COL1A2/F3/PTPN21/ACVR2A/TFPI/COL1A1/ADD3/HAS2/PDGFRB/DLC1/SCHIP1/COL3A1/ID1/SYNE1/SERPINE1/PTPRM/AKT3/NFIB/DAB2/DUSP1/PPARG/NRP1/SNAI2/MET/FYN/PRKCA/KIT/PIK3CD/CELF2/FBLN5/TGFBR2/CAV1/PTGFR"
