"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY",189,-0.809628452693969,-1.68979100786621,2.40529232786888e-06,0.000120264616393444,0.000101275466436585,1080,"tags=37%, list=7%, signal=35%","SIAH2/CBFA2T3/SLC1A4/AMFR/NRIP1/AFF1/IGFBP4/SULT2B1/TPBG/HSPB8/IGF1R/TJP3/CCND1/AREG/PRSS23/SEMA3B/MUC1/SLC19A2/TOB1/FASN/PEX11A/BHLHE40/MAST4/MYB/BCL2/ADCY9/NPY1R/MREG/SEC14L2/CISH/SCNN1A/RAB17/ELOVL2/KRT18/SLC1A1/LRIG1/UGCG/IL6ST/SYBU/ELOVL5/WFS1/MSMB/KDM4B/TTC39A/ADCY1/RARA/CELSR1/SLC22A5/SLC27A2/REEP1/STC2/RET/KCNK15/SLC39A6/GREB1/DHRS2/SLC7A2/PDZK1/GFRA1/ABAT/XBP1/THSD4/MAPT/ANXA9/CA12/MLPH/AR/PGR/TFF3/TFF1"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",187,0.763703044111459,1.77851961564741,4.95724645902492e-06,0.000123931161475623,0.000104363083347893,3126,"tags=59%, list=19%, signal=48%","CDKN2A/ANP32E/CCNE1/NCAPD2/CDC20/DEK/CDCA8/HMGA1/LBR/AURKB/CDCA3/STMN1/RAD51AP1/CHEK1/KIF2C/USP1/CDC25A/LYAR/MCM7/NASP/PLK1/CKS1B/EZH2/MCM5/KIF18B/MELK/TRIP13/CCNB2/DEPDC1/RANBP1/GINS4/BIRC5/MSH2/DIAPH3/TUBB/DSCC1/MCM6/SSRP1/MCM3/PRIM2/PTTG1/DONSON/MCM2/TCF19/CHEK2/PRDX4/PHF5A/SYNCRIP/AK2/DLGAP5/MYBL2/PSIP1/POLD1/CDKN2C/UBE2S/CDC25B/MYC/MKI67/DCLRE1B/CKS2/MCM4/MAD2L1/BUB1B/CENPE/KIF4A/DNMT1/NUP205/EED/TACC3/SMC4/ZW10/ILF3/TIPIN/RFC2/SPC24/UBE2T/SMC6/TBRG4/RAN/GINS1/PLK4/SUV39H1/KPNA2/GINS3/MTHFD2/AURKA/CDK1/ASF1A/RFC3/SPC25/UNG/HMMR/HNRNPD/RNASEH2A/PPP1R8/PRKDC/TMPO/HMGB2/CIT/NUP153/POP7/RPA1/ASF1B/E2F8/LMNB1/ATAD2/TRA2B/PCNA/NOP56/ING3"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",182,0.742082538162742,1.72208369040244,4.16389020517906e-05,0.000693981700863176,0.000584405642832148,2440,"tags=46%, list=15%, signal=40%","E2F3/CDC20/CENPA/SLC7A5/ODC1/UCK2/HMGA1/LBR/AURKB/TTK/STMN1/RAD54L/NDC80/AMD1/E2F2/CHEK1/KIF2C/CDC25A/NASP/TFDP1/PLK1/CKS1B/EZH2/MCM5/BUB1/EFNA5/STIL/CCNA2/CCNB2/DKC1/TPX2/BIRC5/EXO1/KATNA1/CDC7/MCM6/DMD/UBE2C/MCM3/PRIM2/CDC45/PTTG1/MCM2/KIF23/INCENP/CENPF/SYNCRIP/MYBL2/SNRPD1/CDKN2C/UBE2S/DBF4/CDC25B/MYC/PML/KIF15/MKI67/CKS2/MAD2L1/PRC1/CHAF1A/CENPE/KIF4A/E2F4/FBXO5/POLQ/TROAP/TACC3/SLC7A1/SMC4/ILF3/E2F1/KIF11/SAP30/NCL/HIRA/CUL1/PLK4/SUV39H1/RASAL2/PBK/KPNA2/RBL1/MEIS2"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",187,0.727262201481126,1.69365580119951,6.98826015819805e-05,0.000873532519774756,0.0007356063324419,3284,"tags=41%, list=20%, signal=33%","IFRD1/CDC20/DEK/ODC1/SRPK1/USP1/RFC4/MCM7/TYMS/SERBP1/TFDP1/HDGF/ILF2/FBL/MCM5/CCNA2/HDAC2/RANBP1/PSMB2/UBA2/CAD/MCM6/CDC45/SNRPA1/MCM2/PRDX4/LSM2/SYNCRIP/MRPL9/SNRPD1/MYC/NOP16/MCM4/MAD2L1/PHB2/SNRPG/CCT4/EIF3B/PABPC4/SF3B3/SNRPA/YWHAQ/PPM1G/SRM/TCP1/DDX18/HDDC2/CCT5/U2AF1/PABPC1/SSBP1/CUL1/RAN/HPRT1/STARD7/PSMD7/KPNA2/SSB/XPOT/PRPS2/CCT3/HNRNPD/LSM7/COX5A/RPS10/RRP9/TRA2B/PCNA/NOP56/PSMC4/EIF2S2/AIMP2/ABCE1/XPO1/PSMA7/NOLC1"
"HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE",192,-0.739617851216551,-1.54540130421645,0.000475718193112156,0.00475718193112156,0.00400604794199711,1090,"tags=29%, list=7%, signal=28%","CHST8/PLAC1/SIAH2/DNAJC1/SLC1A4/AMFR/NRIP1/AFF1/IGFBP4/SULT2B1/TPBG/HSPB8/CYP4F11/TJP3/CCND1/AREG/COX6C/PRSS23/SEMA3B/TOB1/SORD/MYB/BCL2/TPSAB1/CXCL14/SERPINA5/NPY1R/PRLR/CISH/SCNN1A/UGDH/IL6ST/ELOVL5/PTGER3/TSPAN13/WFS1/RABEP1/ASCL1/SLC22A5/SLC27A2/RET/ACOX2/DHRS2/CACNA2D2/DNAJC12/PDZK1/HMGCS2/XBP1/MAPT/ANXA9/CA12/SCUBE2/PGR/AGR2/TFF3/TFF1"
"HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM",170,-0.744006292318077,-1.53713398799806,0.000970491090790174,0.00808742575658478,0.00681046379501876,975,"tags=11%, list=6%, signal=11%","VTN/IGFBP4/CSAD/FAH/MPP2/ENTPD5/TMBIM6/CYB5A/UGDH/CROT/ELOVL5/MCCC2/ACSM1/GNMT/FBP1/ACOX2/TAT/SERPINA6/ESR1"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",188,0.672433697765219,1.56501023720365,0.00162525023671185,0.0116089302622275,0.00977594127345472,2641,"tags=22%, list=16%, signal=19%","PLA2G4A/PTGS2/IDO1/PIM1/PELI1/SOD2/RIPK2/IFNAR2/CXCL10/PFKP/PTPN2/NUP93/UPP1/ICAM1/PSMB2/TNFAIP2/IL15RA/PML/RTP4/TAP1/PLSCR1/CCL7/NMI/LY6E/CD38/PNPT1/CSF2RB/SOCS1/GBP6/CXCL11/MX2/VCAM1/IFIH1/BATF2/IFI44/MTHFD2/IRF4/FAS/CD40/IL15/PSMB9/NLRC5"
"HALLMARK_PEROXISOME","HALLMARK_PEROXISOME",96,-0.773124024354164,-1.50626074890497,0.00545171809103121,0.0340732380689451,0.0286932531106906,1212,"tags=16%, list=7%, signal=15%","ABCD3/DHCR24/ISOC1/RETSAT/SULT2B1/HSD17B4/DIO1/PEX11A/SEMA3C/CRAT/ELOVL5/ALB/SLC27A2/SERPINA6/ABCC8"
