"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","sig"
"PRR15",679.826770859149,0.631809142536725,0.125834042013873,1.95364196693177e-08,4.52653593498011e-07,"Up"
"GNG3",9.39708956486865,-0.707302381390076,0.142212332837771,1.99196808741045e-08,4.60231724116651e-07,"Down"
"C7orf51",10.9163767871164,-0.715321640652693,0.143942958107927,1.99535383737294e-08,4.60364664929665e-07,"Down"
"D4S234E",54.0199142989791,-0.770782327068297,0.155881709330269,2.04156963894979e-08,4.69474654752884e-07,"Down"
"TMEM100",56.0545691173241,-0.766768373130989,0.155169870737371,2.08609475298726e-08,4.78603895639837e-07,"Down"
"FAM95B1",18.443741211027,-0.657538277716988,0.131749130156699,2.09462899394521e-08,4.79219518852186e-07,"Down"
"SLC13A3",110.618506269813,0.588758895623765,0.117125321004166,2.1720747474224e-08,4.94864484527486e-07,"Up"
"CCL11",30.7070073714742,0.672251213269369,0.135371687528446,2.26963313476335e-08,5.15656870742836e-07,"Up"
"MYH11",1593.45609477182,-0.729339378898201,0.14774854722058,2.2838032720852e-08,5.18157637119496e-07,"Down"
"CHI3L2",881.686399204432,-0.822429741346041,0.167600561578233,2.33324589344473e-08,5.27912996968482e-07,"Down"
"C6orf223",46.7011438902967,1.15373905384708,0.238268919854911,2.45891760941138e-08,5.5253126693783e-07,"Up"
"ECM1",3015.97823962478,0.72083185105224,0.146431873361011,2.48858786838885e-08,5.58055651020869e-07,"Up"
"MAP2",344.449869208803,-0.585441009093706,0.117536105156043,2.74535941924873e-08,6.05059532809613e-07,"Down"
"PEBP4",35.2999934975241,-1.16282822483454,0.241549527475861,2.74808798248185e-08,6.05059532809613e-07,"Down"
"SLC7A3",9.8219281609093,-1.17571344072052,0.244515933827905,2.74177613532707e-08,6.05059532809613e-07,"Down"
"C10orf90",17.3743542960257,-1.00002260333193,0.205846782409367,2.76882004259516e-08,6.08805921043643e-07,"Down"
"C3orf15",117.592966647531,-0.652418430521616,0.132198944069762,2.80122326646371e-08,6.15105071420134e-07,"Down"
"SYNM",1607.69273835366,-0.703206156118747,0.143396609474868,2.84163342947534e-08,6.21479268467764e-07,"Down"
"CD164L2",22.441684016736,-0.732925690655008,0.14987672462942,2.84912426064064e-08,6.2228672684739e-07,"Down"
"PNMA2",151.767800450914,-0.6317736160303,0.127797805889622,2.86331543484978e-08,6.23803603052243e-07,"Down"
"IGFL2",28.9032119155334,0.832886592030263,0.171450553326599,2.95011565421704e-08,6.40077411016283e-07,"Up"
"MPPED2",83.3027419228794,-0.716853898740482,0.146809465963525,3.05337668096422e-08,6.59859675605211e-07,"Down"
"RAB26",196.902662601132,0.585426255493489,0.118293679846677,3.20756888881623e-08,6.92268589824752e-07,"Up"
"PLA2G10",26.0533281523166,0.846182233130808,0.174956724114301,3.24782846956022e-08,7.00035238945605e-07,"Up"
"PCSK6",1318.0814576089,-0.586968066811843,0.118714825294509,3.2650540310941e-08,7.0282325996521e-07,"Down"
"SUSD3",1184.94383651174,-0.614598023929268,0.125105265443714,3.507726017241e-08,7.51111893966337e-07,"Down"
"EPHX4",70.186521189696,-0.770863329513941,0.159682825782944,3.63569989855601e-08,7.76485007017548e-07,"Down"
"COL10A1",3077.9987516163,0.645083978601283,0.132148065147169,3.71739140191936e-08,7.91867211376347e-07,"Up"
"LAMA3",1034.22842219807,-0.66718185876968,0.137161429852197,3.79102984061413e-08,8.0441528263083e-07,"Down"
"GTSF1",17.7639175935238,0.983102028183921,0.205288220615232,3.87416494459043e-08,8.20992185735262e-07,"Up"
"TFCP2L1",896.391150509728,-0.710517888915801,0.146929405150525,3.89572813350785e-08,8.2449512344951e-07,"Down"
"SYP",149.900135763424,-0.770636841765214,0.160250516327734,3.97814720759128e-08,8.3868763716284e-07,"Down"
"C10orf107",16.8419530613387,-0.832710148161124,0.173781094478507,4.06454201651478e-08,8.55800292706022e-07,"Down"
"GPR158",57.4850854063638,-0.910428578418633,0.190672224987665,4.25642095900924e-08,8.91616774034915e-07,"Down"
"HMP19",27.9820242431019,-1.1381446810187,0.240717878657714,4.276601811128e-08,8.93558855460303e-07,"Down"
"KCNQ5",92.9210104511314,-0.767166242135831,0.160038800409495,4.30423312472379e-08,8.98186532689178e-07,"Down"
"MPPED1",6.2046078399807,-1.33847880198611,0.291191304256554,4.34256888654422e-08,9.05033345171513e-07,"Down"
"UGT3A2",28.7217432126677,1.07656632599458,0.227019191065037,4.42980631211801e-08,9.22041387532467e-07,"Up"
"FOXA1",6218.47760501903,0.599790825251985,0.123560825409416,4.84820109759279e-08,1.00275735075338e-06,"Up"
"NXNL2",33.1454676583589,-0.774459295539408,0.162536884947026,4.89314857678997e-08,1.01077763980324e-06,"Down"
"FGF2",246.900967171042,-0.691104984176263,0.144052617940552,4.9024747266009e-08,1.01142869642883e-06,"Down"
"SUSD2",1243.59524892108,0.644599970930254,0.133878461618245,5.12569903254802e-08,1.04824064734294e-06,"Up"
"HSD17B13",5.58064463048704,-0.849929349475979,0.179501507239693,5.2713641153466e-08,1.07534515035483e-06,"Down"
"STAR",12.4724771845579,-0.643802092357259,0.134126762169699,5.51297940918598e-08,1.12183994660715e-06,"Down"
"NEU4",15.4129375500991,1.14095522736574,0.244401871327585,5.55838389816879e-08,1.12967601285239e-06,"Up"
"NOG",9.1326618546373,-0.863792756504804,0.182994809312722,5.60664166688262e-08,1.13807183575222e-06,"Down"
"LOC145837",112.255504143754,0.783767951261673,0.165743017026749,5.74037780719471e-08,1.16090282542786e-06,"Up"
"SLCO1A2",13.4066610928362,-1.31199356930253,0.288245906760361,5.78241201158114e-08,1.16796166660556e-06,"Down"
"SLC14A1",54.9300591055479,-0.700547359311021,0.147315147911034,5.85731324775875e-08,1.18018017603365e-06,"Down"
"CAPN9",154.365928567695,0.807936379061184,0.17137746127171,5.9908449884417e-08,1.20412308902655e-06,"Up"
"NEFH",187.310298875496,-0.77266716759543,0.163906341583752,6.24206319915348e-08,1.25001512549307e-06,"Down"
"GGTLC1",5.50811559453052,0.774103670121323,0.164408894810255,6.39910659086648e-08,1.27678154768555e-06,"Up"
"MRGPRX3",6.8528394168425,-1.08872567663791,0.23380861715303,6.40906858973847e-08,1.27721353489667e-06,"Down"
"KCNK17",22.8371233793752,-0.826571719280267,0.176071668093497,6.47495901355004e-08,1.28877647145763e-06,"Down"
