"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"SCN4B",236.982761482978,-1.9616220247111,0.0802597972486315,2.76789626920802e-133,4.54018025038191e-129
"OSR1",136.344429041803,-3.0862890986649,0.134342904693248,6.71944634562303e-119,5.51095392036273e-115
"C2orf40",94.0363394973643,-3.62868281047308,0.159043094766817,3.71892607292485e-118,2.03338481247288e-114
"NTRK2",957.710194643879,-2.49831523291392,0.109054571091166,8.62846028777145e-118,3.53831585250788e-114
"SDPR",330.083052308276,-2.4221234985317,0.109593579619792,7.74711501168184e-110,2.54151855073234e-106
"SYN2",42.7414052213853,-2.85073844655251,0.129283551095031,1.23249643799493e-109,3.36943984540515e-106
"EDN3",51.6387253657056,-4.98776012879468,0.233652216194405,5.3578268160787e-106,1.25549190377341e-102
"ABCA10",37.6341712058298,-2.66418329520689,0.124066001991313,4.87694670401528e-104,9.99956959824532e-101
"PGK1",9532.56032009666,1.11458119548672,0.052166963272753,1.54983371452962e-102,2.82465804660327e-99
"SHCBP1",224.852609277252,1.72018640589883,0.0807452201260824,6.40475533821918e-102,1.05057201812809e-98
"AURKA",466.205387745689,1.84581711425171,0.0869170287965384,2.25314404368698e-101,3.35984743169069e-98
"TSLP",11.6733613105532,-2.64453614286875,0.125344780932596,1.52242504617944e-100,2.08102816937345e-97
"BOC",597.333293655597,-1.44332822878968,0.0684179986654488,7.20299502671592e-100,9.08851749409394e-97
"KLHL29",104.147139763257,-1.69689040995804,0.0809199247328688,7.80126255930095e-99,9.14029355430096e-96
"LOC728264",308.324604566898,-2.19392174873753,0.105024511543955,2.18504543089812e-98,2.38942001353479e-95
"PDE1C",23.1630038354637,-2.57587618212692,0.124049378446746,1.8256511800939e-97,1.87163476919251e-94
"MYH11",2326.87768054327,-2.49486498093438,0.120193451402404,2.40223044459387e-97,2.31786976368666e-94
"SLC7A3",15.5110258889458,-4.14334508590008,0.202725091803689,5.2719199932429e-97,4.80418353606463e-94
"CCNE2",292.946008391326,1.93691684532235,0.0934002786513087,7.15081381849381e-97,6.17341047709232e-94
"KCNJ16",13.7692167281849,-3.90858581587655,0.190924925407969,1.01939636311703e-96,8.36057927210429e-94
"CLDN19",23.2067963919742,-3.57362854949668,0.174352293705408,3.39014459018824e-96,2.64802579585037e-93
"ITGA7",345.212638698434,-2.06720019990795,0.100151891237452,4.53236249610634e-96,3.37928827380147e-93
"CENPN",307.771250063822,1.32897205485747,0.0645020634373617,2.08845086540115e-95,1.48942867587718e-92
"ORC6L",121.23224556847,1.87129986140261,0.0910594670518265,3.78424580844283e-95,2.58637433316199e-92
"FAM54A",69.2867621646318,1.80515532894788,0.0878863612921781,5.16947107980329e-95,3.39179336488053e-92
"CENPA",108.273167125419,1.80720317936271,0.0889070624462434,4.0242892918765e-93,2.53886220210193e-90
"CDC6",696.021943101397,2.53648238416087,0.125460813092755,1.47613573755222e-92,8.96779796409965e-90
"PTCH2",40.078498019788,-1.89271762047934,0.0939174402271147,1.21619886676126e-91,7.12475357553035e-89
"SOX10",231.649336100516,-3.86099506606906,0.196374386584064,1.59484629395293e-89,9.02078060679654e-87
"MIA",79.4911909219178,-3.33009813297427,0.168760141273919,4.23464414615296e-89,2.31536226431157e-86
"MYBL2",906.61783685734,2.13743293479511,0.107949730408653,1.03772646893179e-88,5.49091202254458e-86
"SOX11",328.767971267511,3.45516114174143,0.176459709546252,5.40600242877916e-88,2.77108305747702e-85
