"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"S100A8",1095.15960782245,4.69854873757942,0.210844412288449,3.37526438227586e-112,5.53644616624709e-108
"SOX11",279.164031203459,3.56001246804379,0.160419071245132,7.88210753519861e-112,6.46451049499314e-108
"CHGB",580.767714018554,-7.21229470333473,0.33013349596716,3.70566199385971e-109,2.02613245617603e-105
"ACE2",27.4407787175213,5.13421605109813,0.235536380970171,1.72955814024294e-107,5.67398843488098e-104
"PCSK1",406.347991084051,-5.42201482974812,0.248718093621925,1.58855467422038e-107,5.67398843488098e-104
"RUNDC3A",124.121730624875,-4.52009932616819,0.213200956148282,5.41582044277995e-102,1.48059504538199e-98
"MUCL1",9199.77379332785,5.49280412071815,0.261498215708651,3.88813835330449e-100,9.11101905846479e-97
"GRIA1",68.2508492834157,-5.83526838983432,0.290470653133674,4.87631223778466e-92,9.99826870454772e-89
"SEZ6L",131.971851398463,-4.76774838275878,0.237685982662273,1.09790372644431e-91,2.00099053609622e-88
"LBP",668.216111852711,5.35198812658201,0.269213917089653,4.1405726603656e-90,6.79178133479769e-87
"GSDMC",41.9824003114208,3.06335363985767,0.156870908450623,8.04532032600897e-88,1.19970353915932e-84
"FABP7",219.879576115351,6.66042859323217,0.34094432608506,9.14323630804791e-88,1.24980420967425e-84
"CLCA2",796.739358644796,4.77425013048842,0.246528276781414,9.71123650774481e-86,1.22533394181952e-82
"TNIP3",9.81669671318569,3.18215190851407,0.165259898745965,1.5981507562078e-85,1.87246191814833e-82
"FCRLB",222.887333029862,-3.55180455428002,0.187000292122239,3.57341664040838e-83,3.90765021017458e-80
"TRH",233.427734643677,-5.06740904117255,0.267332963887836,2.75566511542805e-82,2.82507343052289e-79
"MMP1",765.046305472431,3.35116364562626,0.178998653508615,4.68041337994973e-81,4.51604827478326e-78
"S100A9",3064.44530645761,3.9571974512305,0.211759255157497,2.08909130172925e-80,1.90374247901472e-77
"GLYATL2",708.029649211301,4.21909975372282,0.226300437596345,6.31741749716567e-80,5.45392627400045e-77
"CHST11",165.490444240639,1.20286202528904,0.0648238328282348,2.28516369404573e-78,1.87417700367161e-75
"PI15",672.168294146666,-3.62703444062037,0.199759970575098,2.32774178089754e-76,1.8181880205744e-73
"FAM196A",366.473824328499,-3.58180914232305,0.198084878512406,8.46094126771927e-76,6.3084008915636e-73
"ABCC2",45.2632477952997,3.15738290971471,0.175906753277884,6.10022111725917e-75,4.35051856462618e-72
"AGTR1",868.048257178586,-3.56786551153325,0.199579968349305,3.35538766265243e-74,2.29326765960366e-71
"PEX5L",47.4764088978834,-3.80034310177804,0.212775331900917,6.31251161424439e-74,4.14176512033803e-71
"LGMN",2419.80012583841,0.869961881966052,0.0483244216084678,2.12653583770223e-73,1.34159874407037e-70
"PADI2",1122.02405180189,2.24959286431926,0.126426474344344,1.25790400850097e-72,7.64199979683018e-70
"C2orf54",506.403138746927,3.62605795917324,0.205179028559304,1.39199133003712e-72,8.15458349521391e-70
"ENPP3",80.3511756809107,2.95748800962549,0.169023667850537,2.09283372747894e-71,1.18375005627024e-68
"CPB1",46999.58721256,-5.76111346013702,0.329776726043335,1.32206895135613e-70,7.22863233636487e-68
"KRT81",683.29277066247,3.84580080764197,0.221076528127195,2.49334575760886e-70,1.31930162780832e-67
"ERBB2",26364.1740577676,2.27928745998963,0.131642742220185,5.14209555131295e-69,2.63580604150582e-66
"SYN1",84.4974034430418,-2.71673157335311,0.158565284370065,2.00054700194882e-68,9.94393105241408e-66
"SPTBN4",110.264978760198,-2.0606315282309,0.119536296578779,4.43554267758931e-68,2.13988842766169e-65
"MFSD2A",214.586364352547,2.22890230349666,0.130141777114435,1.62287978128886e-67,7.60574201499464e-65
"C6orf223",22.2538112444464,3.84430421214621,0.226074321748244,2.11382170456753e-67,9.39002217354627e-65
"TTYH3",2099.58878628281,1.06139328715528,0.0618174510395343,2.11809315625929e-67,9.39002217354627e-65
"RARRES1",456.640259368017,2.34444965981255,0.13733963014922,2.59118309327156e-67,1.1185046389193e-64
"CACNB2",75.2809341125751,-2.59059593691624,0.152394124939328,3.08150458121774e-67,1.29604922168499e-64
"DNAJC12",1250.84837193298,-2.11288578427844,0.124619034336717,4.82007752952831e-66,1.97659329292132e-63
"NTRK2",1214.95580977256,-2.75161085266531,0.163763240649953,5.05099325533609e-66,2.02076688700678e-63
