"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",188,0.825817030837372,1.74184600394264,4.35237198624856e-08,2.17618599312428e-06,1.51187658469687e-06,1759,"tags=43%, list=11%, signal=39%","IDO1/CXCL11/CD38/CXCL9/CXCL10/IRF4/BANK1/SLAMF7/CCL5/GZMA/VCAM1/GBP4/KLRK1/GPR18/IFI30/CFH/LCP2/SERPING1/EPSTI1/C1S/CIITA/CSF2RB/C1R/CD86/IRF8/XCL1/IL10RA/STAT4/CCL7/IL15RA/CD274/ZBP1/CASP4/VAMP5/NLRC5/NAMPT/IL18BP/HIF1A/FCGR1A/SOD2/TNFAIP3/ICAM1/CD40/ST8SIA4/ITGB7/CMKLR1/PSMB9/UPP1/PFKP/NMI/PDE4B/IL7/FAS/CD74/TAP1/FGL2/SOCS1/CD69/PLA2G4A/CCL2/IL15/B2M/IFNAR2/P2RY14/MTHFD2/CASP1/ST3GAL5/APOL6/IRF1/STAT1/IL4R/FPR1/PNP/SAMHD1/NOD1/MX2/STAT2/RSAD2/GCH1/SAMD9L/SSPN"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",187,0.79345225887932,1.67458854417631,1.61755788812024e-06,4.04389472030061e-05,2.80944264778779e-05,1928,"tags=48%, list=12%, signal=43%","CXCL11/CXCL9/CXCL10/SLAMF1/LCK/LTA/CXCR6/TNFRSF9/CCL5/IL18RAP/LAMP3/AQP9/PTGER4/CCR7/MARCO/ADM/CD48/KCNA3/IL7R/LCP2/IL12B/ICAM4/IL10/HRH1/IL10RA/CCL7/CCL20/TNFRSF1B/IL15RA/CD70/PLAUR/LYN/IL18R1/NAMPT/SELL/PIK3R5/HIF1A/SLC31A1/TNFSF9/CCRL2/CD82/GPR183/MSR1/ICAM1/PDPN/CD40/CYBB/C5AR1/PTAFR/CMKLR1/C3AR1/CCL17/NMI/RGS16/PDE4B/CX3CL1/CD69/CXCL6/IL18/INHBA/CHST2/PTGIR/CCL2/IL15/OLR1/SLC31A2/GP1BA/EBI3/TLR2/IRF1/ITGA5/IL4R/AXL/PCDH7/CCL22/CD55/MMP14/FPR1/EMP3/BDKRB1/RNF144B/GCH1/SPHK1/SGMS2/MET/TLR1/OSM/TNFSF15/RIPK2/EDN1"
"HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY",189,-0.782621249537599,-1.85307083084772,2.74980872809032e-06,4.5830145468172e-05,3.18398905357827e-05,1238,"tags=32%, list=8%, signal=30%","RET/IGFBP4/HSPB8/MSMB/RAB17/PTGES/LRIG1/ABHD2/GJA1/ARL3/GREB1/AMFR/SLC7A2/XBP1/ABAT/BHLHE40/PRSS23/SNX24/OLFM1/GFRA1/NRIP1/CELSR1/PGR/CHPT1/IL17RB/MLPH/SLC22A5/KCNK15/ABCA3/BAG1/SLC19A2/CA12/MPPED2/RASGRP1/RBBP8/FLNB/MAST4/MED13L/UGCG/IGF1R/SYBU/KRT15/SIAH2/MYB/ASB13/PMAIP1/SEMA3B/KDM4B/ELOVL2/MAPT/ADCY1/CCND1/SLC39A6/PDZK1/SLC27A2/CELSR2/KRT13/THSD4/BCL2/STC2/NPY1R"
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",184,0.772106871230315,1.62806452182831,2.15171354327318e-05,0.000268964192909148,0.000186859334021092,1555,"tags=38%, list=9%, signal=34%","S100A9/KYNU/GZMB/LCK/CCL5/GZMA/SPOCK2/LGMN/CD40LG/GZMK/PLEK/DPP4/CTSC/CXCL1/CFH/APOC1/CASP10/LCP2/CR1/SERPING1/PLA2G7/C1S/CTSS/MMP13/C1R/CP/CASP4/PLAUR/LYN/WAS/PIK3R5/CR2/C1QA/FN1/FYN/C3/TNFAIP3/MMP12/PIK3CG/PHEX/CTSB/C1QC/F5/FCER1G/PCSK9/APOBEC3G/PSMB9/GNGT2/FCN1/PDP1/PLA2G4A/OLR1/GNG2/GP1BA/CASP1/DYRK2/CD36/LRP1/TIMP2/ME1/IRF1/MMP8/ZFPM2/CD55/MMP14/PREP/LGALS3/XPNPEP1/MMP15"
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",175,0.769869644033826,1.6155809980954,5.41840050817923e-05,0.000541840050817923,0.000376436245831399,1194,"tags=50%, list=7%, signal=47%","KLRD1/GZMB/IL2RA/PRF1/CXCL9/SIT1/LCK/IRF4/CD79A/IL2RG/CD7/ZAP70/CD3D/CXCR3/CD2/ITK/CD3E/IFNG/TRAT1/CCL5/CD247/CD3G/CRTAM/GZMA/CCR2/CCL13/IL18RAP/IL12RB1/PRKCB/CD96/EGFR/CD40LG/PTPRC/FASLG/CCR5/CD8A/MAP4K1/ITGB2/BCAT1/CD8B/LCP2/CD28/IL12B/CTSS/CD4/CD80/IL10/CD86/IL16/IRF8/STAT4/CCL7/IGSF6/LTB/SRGN/HCLS1/LYN/WAS/FGR/HIF1A/CCR1/NCF4/CCL4/CCL11/IFNGR1/ICAM1/CD40/ST8SIA4/FCGR2B/CCL19/IL7/FAS/CD74/TAP1/SOCS1/SPI1/GPR65/GBP2/IL18/INHBA/DEGS1/THY1/CCL2/IL15/ETS1/B2M/IFNAR2"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",91,0.79976798929626,1.56220698952449,0.000715846978134638,0.00596539148445532,0.00414437724183212,2283,"tags=36%, list=14%, signal=31%","CXCL11/CXCL10/LAMP3/GBP4/IFI30/NCOA7/EPSTI1/C1S/SELL/CCRL2/PSMB9/NMI/IL7/CD74/TAP1/GBP2/IL15/B2M/CASP1/IRF1/IL4R/TMEM140/STAT2/RSAD2/SAMD9L/RIPK2/IFIH1/CASP8/ISG20/BATF2/UBE2L6/SP110/TRIM21"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",194,0.722347669298808,1.52964316828204,0.000908154643194092,0.0064868188799578,0.00450663206397068,1983,"tags=32%, list=12%, signal=28%","KYNU/CXCL11/CXCL10/TNFRSF9/BCL2A1/CCL5/PTGER4/PLEK/CXCL1/IL7R/PLAU/IL12B/TNFAIP8/CD80/CCL20/IL15RA/CFLAR/PLAUR/NAMPT/FUT4/TNFSF9/CCRL2/GPR183/SOD2/TNFAIP3/CCL4/SLC2A3/ICAM1/NFIL3/RCAN1/MSC/PDE4B/TAP1/CD83/CD69/TRAF1/BIRC3/SAT1/CXCL6/SLC2A6/IL18/INHBA/GFPT2/CCL2/OLR1/TLR2/SGK1/DUSP2/IRF1/PANX1/SPSB1/B4GALT5/FOSL1/GCH1/SPHK1/SERPINB8/RIPK2/EDN1/MAP2K3/PMEPA1/CXCL3/IFIH1"
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING",189,0.719596488230128,1.51696617046762,0.0016626490903424,0.01039155681464,0.00721939736596041,1657,"tags=28%, list=10%, signal=26%","IL2RA/CXCL10/CTLA4/IRF4/ICOS/TNFRSF9/CD79B/CST7/EOMES/CD48/GBP4/TNFRSF8/CCR4/GLIPR2/NT5E/IL10/CD86/IRF8/IL10RA/TNFRSF1B/LTB/PLAGL1/ADAM19/CDC6/IL18R1/SELL/PLIN2/SLC2A3/IFNGR1/NFIL3/RGS16/FGL2/SOCS1/CD83/TRAF1/GPR65/MYO1E/BATF3/TLR7/TNFSF11/GALM/CTSZ/NCS1/RRAGD/CKAP4/IL1R2/TNFRSF4/IL4R/CCNE1/CCND2/PNP/SPP1/ITGAE"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING",81,0.8021231743766,1.54846811948928,0.00212513047833125,0.0118062804351736,0.00820225798654167,2300,"tags=51%, list=14%, signal=44%","IL2RA/CXCL11/CD38/CXCL9/CXCL10/IL2RG/IL12RB1/PLA2G2A/CXCL1/CSF2RB/CCL7/TNFRSF1B/IL15RA/LTB/IL18R1/PIK3R5/CCR1/IL9R/IFNGR1/IL7/FAS/SOCS1/EBI3/TLR2/CD36/IRF1/STAT1/IL1R2/IL4R/STAT2/CSF2RA/CXCL13/HMOX1/CXCL3/A2M/IL10RB/TNFRSF21/TNFRSF12A/ACVRL1/IFNGR2/PIM1"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",191,0.690076398488524,1.45913639207923,0.00267034807035242,0.0133517403517621,0.00927594592859263,2590,"tags=33%, list=16%, signal=28%","PSAT1/SRD5A1/LGMN/G6PD/CTSC/IFI30/ITGB2/BCAT1/ACTR3/CORO1A/CXCR4/NAMPT/EGLN3/ENO1/SLA/PGK1/SLC2A3/NFIL3/TES/IDH1/PDK1/FGL2/DDIT4/FADS2/PHGDH/SERPINH1/RRM2/MTHFD2/STARD4/IDI1/ME1/TFRC/HMGCS1/VLDLR/GPI/ACTR2/ADD3/PNP/SHMT2/GMPS/PPA1/P4HA1/CFP/GSR/MAP2K3/EIF2S2/PSPH/IFRD1/GAPDH/PSMD14/DAPP1/HSPD1/PITPNB/SLC7A5/STIP1/HSPE1/YKT6/CALR/PSMA3/BUB1/SCD/LDHA/AURKA"
