"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"BOC",503.828042266678,-1.87590388089127,0.0722323290734339,3.77511785786735e-150,6.19232582225981e-146
"DMD",241.163185594046,-1.99862652372576,0.081252491461174,3.86180646039937e-135,3.16726056849654e-131
"PROS1",500.125098584922,-1.49549011627108,0.0633481280044043,2.87779783895017e-124,1.57348393174332e-120
"PTGER4",187.440954158277,-1.48073597281419,0.0631168578354105,9.64069035647147e-123,3.95340609793004e-119
"ITM2A",493.150265436383,-1.89571402375421,0.0817806489166422,2.43946596818219e-120,8.0029120552185e-117
"PLAGL1",186.986377683902,-1.53530373092518,0.0669415076175062,1.66263734310517e-117,4.54537338982568e-114
"C2orf88",47.5313622887561,-1.75435840599917,0.0775127879822446,9.29145125665943e-115,2.17725249947121e-111
"TGFBR2",2345.50206328221,-1.35190391023998,0.060370516850128,5.84135773124158e-112,1.19769738581945e-108
"SFRP1",2047.7783429385,-3.04187381823986,0.13748606581526,1.40303699895346e-110,2.55711287709263e-107
"AQP1",3849.39748881854,-1.46785386793519,0.0660650493805521,2.1916108551953e-110,3.59489928577685e-107
"ITPRIPL1",21.0895463005506,-1.75899465024177,0.0793301732830513,2.80893345585303e-110,4.18863049785066e-107
"CAV1",1886.43242529937,-1.47467763462927,0.0664707150411513,4.47787426392044e-110,6.12088096259059e-107
"RUNDC3A",124.400608493795,4.41390774716882,0.20439455647266,6.09035821052222e-110,7.68462659439969e-107
"ITIH5",531.475884389444,-2.02485600734112,0.0918597619444626,3.10963539617981e-109,3.64338210025267e-106
"BHLHE22",37.0955520691213,-1.70209765937959,0.0781554376992037,1.91513912339009e-106,2.00667524517325e-103
"CAV2",572.068834324608,-1.35492181535212,0.0620989205233242,1.95737389031104e-106,2.00667524517325e-103
"TACR1",58.86349525703,-2.47899022752431,0.114292797171213,4.56982770380257e-106,4.40934610738079e-103
"MAP1LC3C",8.91408278066482,-2.58093749628934,0.119175044101805,8.47426125898621e-106,7.72240596839727e-103
"FAM107A",146.777884656353,-2.19317705413424,0.101205725101246,8.96316755561777e-106,7.73804407446307e-103
"LHFP",810.512749108874,-1.25287051726832,0.0576101924973685,1.13429697201776e-105,9.30293661600367e-103
"ATOH8",74.2370814126284,-2.36933900652537,0.109937353401508,1.00360663424585e-104,7.83912362930226e-102
"FREM1",76.0257988386919,-2.41063524323379,0.112021738814589,1.9467387874076e-104,1.45147074226577e-101
"CX3CL1",1172.51168762663,-1.99142481050555,0.0925525383650988,3.16628948211837e-104,2.25811505979076e-101
"LOC728264",276.856555254059,-2.16420064392451,0.101129484482495,3.1408808486086e-103,2.14666118998862e-100
"COL14A1",2889.81815961901,-2.02448731532525,0.0947432923294824,7.36015024361708e-103,4.82914177784204e-100
"MEOX2",106.094044607932,-2.01382460219125,0.0945330220229132,3.01456221284448e-102,1.90184092220338e-99
"CELF2",515.708478912379,-1.39891992875319,0.0657790835731549,2.62968728297751e-101,1.59758372232149e-98
"TNS1",3629.2507904092,-1.17167097463894,0.0550940312316263,3.93887790688186e-101,2.30747908237797e-98
