"k","cophenetic","dispersion"
2,0.998683866213641,0.992506559274837
3,0.989544929037048,0.893988640026302
4,0.987065502464389,0.897364380815879
5,0.960014524197647,0.800435318324104
6,0.96691610423473,0.82991807052282
7,0.94734377488506,0.806371557653332
8,0.976948763289089,0.885528583439986
